start	end	merged	Azure AI	Google NMT	Google Gemini
87580	92210	雅列是聖經裡面所記載活得第二長壽的人。	ヤレドは、聖書に記録されている2番目に長生きした人物です。	ジャレドは聖書に記録されている中で2番目に長生きした人物です。	ヤレは聖書の中で記録されている最も長生きした人の2番目です。
92210	94550	他活了926歲。	彼は926歳まで生きました。	彼は926歳まで生きました。	彼は926歳まで生きました。
94550	99920	21節 以諾活到六十五歲，生了瑪土撒拉。	21 エノクは65歳まで生き、メトシェラをもうけた。	21節 エノクは65歳まで生き、メトセラの父となりました。	21節 エノクは65歳でマテュサラをもうけました。
99920	107970	以諾生瑪土撒拉之後，與神同行三百年 並且生兒養女。	エノクはメトシェラを産んだ後、300年間神と共に歩み、息子や娘をもうけました。	エノクはメトセラを生んだ後、三百年間神とともに歩み、息子や娘をもうけました。	エノクはマテュサラをもうけた後、神と共に300年間歩き、息子と娘をもうけました。
107970	111240	以諾共活了三百六十五歲。	エノクは合計365年生きました。	エノクは合計365年間生きました。	エノクは合計365歳で亡くなりました。
111240	116950	以諾與神同行，神將他取了去，他就不在世了。	エノクは神と共に歩みましたが、神は彼を連れ去り、彼はもはや生きていませんでした。	エノクは神とともに歩みましたが、神が彼を連れ去ってしまい、彼はもう生きていませんでした。	エノクは神と共に歩み、神は彼を連れて行かれたので、彼は世にいなくなりました。
116950	120220	我們特別來解釋一下以諾。	特にエノクについて説明しましょう。	特にエノクについて説明しましょう。	特にエノクについて説明しましょう。
120220	128370	我們發現從人類犯罪之後 就要面對一個很嚴肅的問題。	私たちは、人間が罪を犯したので、直面しなければならない非常に深刻な問題があることに気づきます。	人間が犯罪を犯した以上、非常に深刻な問題に直面しなければならないことがわかります。	私たちは、人類が罪を犯してから、非常に深刻な問題に直面しなければならないことに気づきました。
128370	137080	神告訴亞當說你們如果不聽我的話犯罪 結局就是死。	神はアダムに、「わたしの言うことを聞かないなら、罪を犯して死ぬ」とおっしゃいました。	神はアダムに、もしあなたが私に背いて罪を犯したら、あなたは死ぬだろうと言いました。	神はアダムに、もしあなたが私の言葉を聞かず、罪を犯せば、その結果は死であると言いました。
137080	142600	因此在他們犯罪之後我們看見 兩個很重要的線索。	ですから、彼らが罪を犯した後、私たちは二つの非常に重要な手がかりを見ました。	したがって、彼らが犯罪を犯した後、2つの非常に重要な手がかりがわかります。	そのため、彼らが罪を犯した後、私たちは2つの重要な手がかりを見ました。
142600	145770	第一個線索是他們不能與神同在了。	第一の手がかりは、彼らはもう神と一緒にいられないということです。	最初の手がかりは、彼らはもはや神と共にいることができないということです。	最初の手がかりは、彼らが神と共にいられなかったことです。
145770	148160	他們不能與神同行了。	彼らはもう神と共に歩むことができません。	彼らはもはや神とともに歩むことができませんでした。	彼らは神と共に歩めませんでした。
148160	151240	他們從伊甸園被趕出去。	彼らはエデンの園から追い出されました。	彼らはエデンの園から追放されました。	彼らはエデンの園から追い出されました。
151240	162890	我們之前也談過，從伊甸園的大門口在東邊的這件事來看， 伊甸園可以被看作是人類第一個 敬拜上帝的聖所、會幕。	前にもお話ししたように、エデンの園の門が東側にあることから、エデンの園は神様の礼拝の第一の聖所である幕屋といえます。	以前にもお話しましたが、エデンの園の門が東側にあることから判断すると、エデンの園は人間が神を礼拝した最初の聖所、幕屋であると考えられます。	以前も話しましたが、エデンの園の入り口が東にあることから、エデンの園は人類にとって最初の神への礼拝の聖所、幕屋と見なすことができます。
162890	168690	因為會幕的門口、聖殿的門口也都是朝東。	会衆の幕屋の入り口と神殿の入り口は東に向かっているからである。	幕屋の入り口と神殿の入り口も東を向いていたからです。	なぜなら、幕屋の入り口、聖殿の入り口も東を向いているからです。
168690	172240	亞當、夏娃被趕出去了。	アダムとエバは追い出されました。	アダムとイブは追い出されました。	アダムとイブは追い出されました。
172240	175780	他們沒有辦法繼續與神同在、繼續與神同行。	彼らが神と共にあり続け、神と共に歩み続ける方法はありません。	彼らには神と共に居続けることも、神と共に歩み続けることもできないのです。	彼らは神と共にいること、神と共に歩くことを続けることができませんでした。
175780	179210	他們所生的兒子該隱更慘。	息子のカインはもっと惨めでした。	彼らの息子カインはさらにひどかった。	彼らの息子カインはさらに悲惨でした。
179210	185100	該隱殺了他的弟弟亞伯之後 繼續被神放逐趕得更遠。	カインが弟アベルを殺した後、彼は神によって追放され、さらに追いやられました。	カインが弟のアベルを殺した後、彼は神によってさらに追放され続けました。	カインは弟のアベルを殺した後、神によってさらに遠くへ追放されました。
185100	188170	更不能與神同在。	また、神と共にいることもできません。	神と共にあることは言うまでもありません。	神と共にいることはできませんでした。
188170	195290	該隱跟耶和華求情說 我現在被祢趕得往東邊、更遠去了。	カインは主に嘆願して言った、「わたしは今、あなたによって東へ、遠くへ追いやられています。	カインは主に執り成して言った、「今、あなたは私を東へ、そしてさらに遠くへ追いやってくださいました。」	カインはヤハウェに懇願し、今、あなたは私を東へ、さらに遠くへ追放しました。
195290	197650	我不能見祢的面了。	もうあなたの顔は見えません。	もうあなたの顔は見えません。	私はあなたの顔を見ることはできません。
197650	204670	我很怕其他亞當的兒子們，或是他的後代們， 會追殺我。	私は、アダムの他の息子たちやその子孫が私を追い詰めるのではないかと恐れていました。	アダムの他の息子たち、あるいはその子孫が私を追ってくるのではないかと心配です。	私は、アダムの他の息子たち、または彼の子孫たちが、私を殺しに来るのではないかと恐れています。
204670	206360	因為我殺人嘛。	なぜなら、私は人を殺すからです。	人を殺すから。	なぜなら、私は殺人者だからです。
206360	211000	我們看見該隱與神越隔越遠。	カインが神からどんどん遠ざかっていくのが見えます。	カインが神からますます離れていくのがわかります。	私たちは、カインが神からますます遠ざかっているのを見ます。
211000	214540	不能與神同行、不能與神同在。	あなたは神と共に歩むことはできないし、神と共にいることもできない。	神とともに歩むことも、神とともにいることもできません。	神と共に歩くこと、神と共にいることができません。
214540	217030	甚至不能見神的面了。	もう神様の顔すら見えません。	もう神の顔さえ見ることができません。	神に会うことさえできませんでした。
217030	223760	所以「能不能與神同行」 是一個很重要的線索。	ですから、私たちが神と共に歩むことができるかどうかは、とても重要な手がかりです。	したがって、「神とともに歩めるかどうか」が非常に重要な手がかりとなります。	そのため、「神と共に歩むことができるかどうか」は非常に重要な手がかりです。
223760	243570	第五章從第1節開始， 雖然亞當的另外一個兒子塞特 還有他的後代以挪士的子孫們 看起來都活了好幾百歲， 八百多歲、九百多歲， 但他們的結局都是怎麼樣？死。	5章は1節から始まっていますが、アダムのもう一人の息子セツとその子孫であるエノスの子孫は、何百年、800年、900年も生きたように見えますが、彼らはどうなったのでしょうか。 死ぬ。	第5章は1節から始まります。 アダムのもう一人の息子セトとその子孫であるエノスの子孫は、800歳以上、900歳以上と何百年も生きていたようですが、結末はどうなるのでしょうか？死ぬ。	第5章は第1節から始まり、アダムのもう一人の息子セトとその子孫、エノスの子孫たちは、何百年も生き、800歳以上、900歳以上生きているように見えますが、彼らの最後はすべてどうなりましたか？死。
243570	247120	每一個人都是活了幾歲就死了、活了幾歲就死了。	彼らは皆、彼が死ぬ前に数年生き、数年後、彼は死ぬまで生きました。	誰もが数年生きれば死ぬし、数年生きれば死ぬ。	すべての人は、何歳で死んだか、何歳で死んだかです。
247120	251640	就算你覺得好像活得好幾百歲夠長了 但結局還是死。	数百年生きたつもりでも、結局は死んでしまう。	何百年も生きるのは十分に長いと感じていても、結局は死んでしまいます。	何百年も生きているように思えても、最後は死です。
251640	254910	還是得接受犯罪的結果。	それでも、自分の罪の結果を受け入れなければなりません。	あなたはまだ自分の犯罪の結果を受け入れなければなりません。	罪の結果を受け入れなければなりません。
254910	263960	而我們在以諾身上看到 神留下了一個美麗的記號，或伏筆， 以諾可以與神同行。	そして、エノクの中に、エノクが神と共に歩むことができるという美しいしるし、あるいは予示を残してくださったことが分かります。	そして、私たちはエノクの中に、神がエノクが神とともに歩むことができるという美しいしるし、あるいは予兆を残したことがわかります。	しかし、私たちはエノクに、神が美しいしるし、または伏線を残したのを見ます。エノクは神と共に歩むことができました。
263960	276320	他不僅可以在地與神同行三百年，神甚至讓他不會死、沒死。神太喜歡他了，因為他非常敬畏神、愛神。	彼は300年間、地上で神と共に歩むことができただけでなく、神は彼を死なせることさえ許さなかったのです。 神が彼をこれほどまでに愛されたのは、神が神を畏れ、愛したからです。	彼は三百年間神とともに地上を歩くことができただけでなく、神は彼が決して死なないことさえも許されました。彼が神を非常に恐れ、神を愛したので、神は彼をとても気に入ってくれました。	彼は地上で神と共に300年間歩むだけでなく、神は彼を死なせませんでした。神は彼をとても愛していました。なぜなら、彼は神を非常に敬い、神を愛していたからです。
276320	280850	以諾的結局是沒有死 直接被神接走了。	エノクの最期は、彼が死んだのではなく、神によって取り除かれたことでした。	エノクの結末は、死なずに神に直接拾われたというものでした。	エノクの最後は、死なずに、神に迎えられました。
280850	288800	他是一個不僅在地上與神同行三百年的人 他最後是永遠與神同行。	彼は300年間地上で神と共に歩んだだけでなく、永遠に神と共に歩むことになった人でした。	彼は三百年間地上で神と共に歩んだだけでなく、永遠に神と共に歩んだ人でした。	彼は地上で神と共に300年間歩んだだけでなく、最後は永遠に神と共に歩みました。
288800	293050	他在地上的結局沒有死。	イエスは地の果てで死ななかった。	彼の地上での終わりは死ではありませんでした。	彼は地上での最後は死んでいません。
293050	295670	他直接被神接走了。	彼は神に直接連れて行かれました。	彼は神に直接連れて行かれました。	彼は神に迎えられました。
295670	298560	所以以諾給我們一個很美的記號。	ですから、エノクは私たちに美しい印を与えてくれます。	そこでエノクは私たちに美しいしるしを与えてくれました。	そのため、エノクは私たちに美しいしるしを与えてくれます。
298560	305780	其實神對人的心意 還是希望人可以永遠與祂同行、永遠與祂同在。	実際、人間に対する神の心は、人間が永遠に神と共に歩み、永遠に神と共にいることを望んでいる。	実際、人々に対する神の意図は、人々が常に神とともに歩み、永遠に神とともにいることです。	実際、神は人間に対して、人間が永遠に神と共に歩み、永遠に神と共にいることを望んでいます。
305780	310320	第二個線索是 神對人的美好的心意還是希望人不要死。	第二の手がかりは、人間に対する神の善意は、人間が死なないことを望んでいるということである。	2 つ目の手がかりは、人々に対する神の善意が、人々が死なないことを望んでいることです。	2番目の手がかりは、神は人間に対して、人間が死なないことを望んでいるということです。
310320	316740	人不要繼續活在罪的懲罰跟結果裡面。	罪の罰と結果の中で生き続けないでください。	人々は罪の罰や結果の中で生き続けるべきではありません。	人間が罪の罰と結果の中で生き続けるべきではありません。
316740	319200	因為罪的工價就是死。	罪から来る報酬は死だからです。	罪の代償は死だからです。	なぜなら、罪の報酬は死だからです。
319200	321130	以諾是一個很美的記號。	エノクは美しい印です。	エノクは美しいしるしです。	エノクは非常に美しいしるしです。
321130	324490	他永遠與神同行、與神同在。	彼は永遠に神と共に歩み、神と共にいました。	彼は常に神とともに歩み、神とともにいます。	彼は永遠に神と共に歩み、神と共にいます。
324490	328260	死在他生命中沒有權勢。	彼の人生には死ぬ力はありません。	彼の人生において死は何の力も持たなかった。	死は彼の生命に権威を持っていません。
328260	330080	他永遠活著。	神は永遠に生きておられます。	彼は永遠に生きます。	彼は永遠に生きています。
330080	333660	這讓我們很感恩啊！ 這就是一個預告。	これはとてもありがたいことです。 これはお誘いです。	これはとてもありがたいことです。 これはプレビューです。	これは私たちに感謝の気持ちを与えてくれます！これは予告です。
333660	343900	代表我們這一些信靠主耶穌十字架救恩的人 也可以靠著主耶穌基督 永遠與神同在。	救いのために主イエスの十字架に信頼する私たちに代わって、私たちもまた、主イエス・キリストによって永遠に神と共にいることができます。	それは、主イエスの十字架の救いを信じる私たちも、永遠に神と共におられるよう主イエス・キリストに信頼することができるということです。	主イエス・キリストの十字架の救いを信じる私たちも、主イエス・キリストによって永遠に神と共にいることができることを示しています。
343900	351410	就算在地上的肉體的生命有一天會死 但是我們的靈裡面的生命卻永遠不會死。	地上の肉体のいのちはいつか死にますが、霊のいのちは決して死にません。	たとえ地上の物質的な命はいつか死んでしまいますが、私たちの霊の命は決して死ぬことはありません。	地上での肉体の生命はいつか死ぬかもしれませんが、私たちの霊の中の生命は永遠に死ぬことはありません。
351410	356160	我們永遠與神同在、永遠與神同行。	私たちはいつも神と共にあり、常に神と共に歩んでいます。	私たちは常に神と共にあり、常に神と共に歩みます。	私たちは永遠に神と共にいます。永遠に神と共に歩みます。
356160	359760	這邊提醒我們一件事。	ここで1つのことを思い出してください。	ここで一つのことを思い出させてください。	ここで、私たちに思い出させてくれることがあります。
359760	367820	雖然以諾他與神同行三百年 但他並沒有離家出走哦！ 他也沒有躲到修道院裡面去。	エノクは300年間、神と共に歩みましたが、家から逃げ出しませんでした。 彼は修道院にも隠れませんでした。	エノクは三百年間神とともに歩みましたが、家から逃げませんでした。 修道院に隠れたわけでもない。	エノクは神と共に300年間歩みましたが、彼は家出をしませんでした！彼は修道院に隠れることもありませんでした。
367820	370000	他繼續生兒養女。	彼には子供と娘がいました。	彼には息子と娘が生まれ続けました。	彼は息子と娘をもうけました。
370000	376840	所以弟兄姊妹 與神同行講的不是躲到深山裡面去 離開家庭出家去了。	ですから、神と共に歩む兄弟姉妹は、山に隠れたり、家族を捨てたり、家を離れたりすることについて話しているのではありません。	したがって、兄弟姉妹の皆さん、神とともに歩むということは、山に隠れたり、家族を捨てて僧侶になったりすることではありません。	そのため、兄弟姉妹、神と共に歩くとは、深山に隠れて、家族を捨てて出家することではありません。
376840	381210	與神同行指的是對上帝一種敬拜的態度。	神と共に歩むとは、神に対する礼拝の態度を指します。	神とともに歩むとは、神に対する崇拝の態度を指します。	神と共に歩くとは、神への礼拝の態度のことです。
381210	388600	與神同行指的是一種敬愛神 愛神愛人的生活方式。	神と共に歩むとは、神を愛し、人々を愛する生き方を指します。	神とともに歩むとは、神を敬い、愛し、他者を愛する生き方を指します。	神と共に歩くとは、神を愛し、人を愛する生き方のことです。
388600	399680	再來 整個亞當的後代， 特別是以挪士的後代，裡面 以諾是活得壽命最短的人。	そして、アダムの子孫全般、特にエノスの子孫がいますが、その中でエノクは最も短生きした人でした。	次に、アダムの子孫、特にエノシュの子孫の中で、最も寿命が短かったのがエノクでした。	次に、アダムの子孫全体、特にエノスの子孫の中で、エノクは最も短命でした。
399680	402920	他只活了365年。	彼は365歳しか生きられませんでした。	彼はわずか365年しか生きませんでした。	彼はわずか365年間生きました。
402920	407290	他的爸爸雅列是活第二久的。	父親のジャレッドは2番目に長生きした。	彼の父親のジャレッドは2番目に長生きした。	彼の父親ヤレは2番目に長生きしました。
407290	410990	世界上壽命第二長的人962歲。	世界で2番目に長い人は962歳です。	世界で2番目に長生きしている人は962歳です。	世界で2番目に長生きした人は962歳です。
410990	412520	他的兒子更不得了。	彼の息子はもっとひどかった。	彼の息子はさらにひどいです。	彼の息子はさらにすごい。
412520	415100	他的兒子瑪土撒拉是活最久的人。	彼の息子メトシェラは最も長生きしました。	最も長生きしたのは彼の息子メトセラでした。	彼の息子マテュサラは最も長生きした人です。
415100	416730	他活到969歲。	彼は969歳まで生きました。	彼は969歳まで生きました。	彼は969歳まで生きました。
416730	417960	我們來看一下。	見てみましょう。	見てみましょう。	見てみましょう。
417960	421690	瑪土撒拉活到一百八十七歲，生了拉麥。	メトシェラは187歳まで生き、レメクをもうけた。	メトセラは187歳まで生き、レメクの父となりました。	マテュサラは187歳でラメクをもうけました。
421690	428780	瑪土撒拉生拉麥之後，又活了七百八十二年 並且生兒養女。	メトシェラはレメクをもうけた後、七百八十二年生き、息子や娘をもうけた。	メトセラがレメクの父になった後、メトセラはさらに七百八十二年生き、息子と娘をもうけました。	マテュサラはラメクをもうけた後、782年間生き、息子と娘をもうけました。
428780	432860	瑪土撒拉共活了九百六十九歲就死了。	メトシェラは死ぬまで合計969年生きました。	メトセラは亡くなるまで合計969年間生きました。	マテュサラは合計969歳で亡くなりました。
432860	438000	我們看見以挪士的後代 有拉麥、瑪土撒拉。	エノスの子孫であるレメクとメトシェラがいます。	エノスの子孫にはレメクとメトセラが含まれていることがわかります。	私たちは、エノスの子孫に、ラメク、マテュサラがいるのを見ます。
438000	445900	而該隱的後代也有拉麥這些類似的名字。	カインの子孫もまた、レメクのような似たような名前を持っていました。	そしてカインの子孫もレメクのような似た名前を持っていました。	そして、カインの子孫にも、ラメクのような名前があります。
445900	448090	因為他們都是親戚啊。	みんな親戚ですから。	だってみんな親戚だから。	なぜなら、彼らは親戚だからです。
448090	451320	所以取一樣的名字也不會太奇怪。	ですから、同じ名前があっても不思議ではありません。	したがって、同じ名前があってもそれほど奇妙ではありません。	そのため、同じ名前を付けるのはそれほど奇妙ではありません。
451320	454240	這給我們一個省思。	これは私たちに考えるための材料を与えてくれます。	これは私たちに考えさせられます。	これは私たちに省察を与えてくれます。
454240	457870	人其實不一定要地上活得久。	人間は地球上で長生きする必要はありません。	実際、人は必ずしも地球上で長生きする必要はありません。	人間は必ずしも地上で長く生きる必要はありません。
457870	460580	重點是活的品質怎麼樣。	重要なのは、生活の質がどうなっているかということです。	重要なのは生活の質です。	重要なのは、人生の質です。
460580	461830	弟兄姊妹。	兄弟姉妹の皆さん。	兄弟姉妹。	兄弟姉妹。
461830	463780	每一個人會活多久我們不知道。	それぞれがいつまで生きるかはわかりません。	一人一人がどれくらい生きられるかは分かりません。	誰もがどれくらい生きるか、私たちは知りません。
463780	469670	但重點你是否願意珍惜每一天 與神同行像以諾一樣呢？	しかし、重要なのは、エノクのように一日一日を大切にし、神と共に歩みたいということです。	しかし重要なのは、あなたがエノクのように毎日を大切にして神と共に歩む意欲があるかどうかということです。	しかし、重要なのは、あなたが毎日を大切にし、エノクのように神と共に歩むことを望むかどうかです。
469670	472260	那才是有意義的人生啊。	それは有意義な人生です。	それは意味のある人生です。	それが意味のある人生です。
472260	479500	28節 拉麥活到一百八十二歲，生了一個兒子 給他起名叫挪亞。	28 レメクは百八十二歳まで生きて、男の子をもうけ、ノアと名付けた。	28節 レメクは百八十二歳まで生き、息子を産み、その名をノアと名付けた。	28節 ラメクは182歳で息子をもうけ、彼にノアと名付けました。
479500	482930	挪亞的意思是休息。	ノアは休息を意味します。	ノアとは休息という意味です。	ノアは休息を意味します。
482930	486130	使人可以休息下來、停下來。	それは人々が休んで立ち止まることを可能にします。	人々が休んだり立ち止まったりできるようにする。	人は休息し、立ち止まることができます。
486130	488400	可以得到安慰。	慰めることができます。	慰められる。	慰めを得ることができます。
488400	495700	拉麥說：這個兒子必為我們的操作 和手中的勞苦安慰我們。	レメクは言った、「この子は、わたしたちの働きと、わたしたちの手の労苦とを慰めてくださるであろう」。	レメクは言った、「この息子は、私たちの労苦と手の労苦を慰めてくれるでしょう。」	ラメクは言いました。「この息子は、私たちの仕事と手の労苦を慰めてくれるでしょう。」
495700	503280	代表拉麥他們在地上 也是需要辛苦的工作。	レメクを代表して、彼らは現場でのハードワークも必要としています。	レメクの代表として、彼らも地上での努力が必要だ。	これは、ラメクが地上で苦労して働いていたことを示しています。
503280	507940	也需要面對許多生命中的挑戰。	人生には、直面しなければならない多くの課題があります。	人生には、直面しなければならない課題もたくさんあります。	また、人生の多くの課題に直面する必要もありました。
507940	513870	以挪士系統的後代都是屬於敬畏神的人。	エノスのシステムの子孫は、神を畏れる人々に属していました。	エノスの血統の子孫は神を畏れる人々でした。	エノスの系統の子孫は、すべて神を敬う人々でした。
513870	520950	在新約彼得後書二章5節 有一段很難解的經文。	新約聖書では、2ペテロ2:5に理解しにくい箇所があります。	新約聖書のペテロ第二 2章5節に難しい一節があります。	新約聖書のペテロ後書2章5節には、解釈が難しい箇所があります。
520950	524250	那邊講到挪亞一家八口。	ノアの家族は8人です。	そこではノアの8人家族について語られています。	そこでは、ノアとその家族8人が言及されています。
524250	528350	挪亞是傳義道的一個人。	ノアは義を説く人でした。	ノアは正義を説く人でした。	ノアは義の道を宣べ伝える人でした。
528350	530360	他傳公義的道。	彼は義を説きます。	彼は正義を説きます。	彼は公義の道を宣べ伝えました。
530360	534640	他是一個傳神公義道理的傳道者。	彼は神の義の説教者でした。	彼は神の正しい教えを説く説教者です。	彼は神の公義の教えを宣べ伝える伝道者でした。
534640	537820	他一家八口得救。	彼の8人家族は救われました。	彼の家族8人は救われた。	彼の家族8人は救われました。
537820	549820	其實在彼得後書二章5節 它希臘文真正的原文是 挪亞是第八個公義的傳道者。	実際、ペテロの第二の手紙2章5節では、ノアが8番目の義の牧師であったというのが本当のギリシャ語のテキストです。	実際、ペテロ第二 2:5 では、実際のギリシャ語の本文では、ノアは 8 番目の義の説教者であったと書かれています。	実際、ペテロ後書2章5節のギリシャ語の原文は、ノアは8番目の義の伝道者です。
549820	551790	什麼叫第八個？	8番目は何ですか?	8番目とは何ですか？	8番目とはどういう意味ですか？
551790	554820	是挪亞他們全家的第八。	ノア、彼らの家族の8番目。	彼はノアの家族の8番目でした。	ノアとその家族全員の8番目という意味ですか？
554820	557850	他們全家有八個人的意思嗎？其實不是的。	家族8人という意味ですか? いやそうではありません。	家族は8人ということですか？実際にはそうではありません。	実際にはそうではありません。
557850	560240	是從以挪士開始。	イーノスと一緒だった。	それはイーノスから始まります。	エノスから始まります。
560240	564510	以挪士開始是第一代的話， 挪亞是第八代。	エノスが初代なら、ノアは8代目です。	エノシュが初代だとすると、ノアは８代目になります。	エノスが最初の世代であれば、ノアは8番目の世代です。
564510	568350	代表從以挪士開始呼求耶和華的名。	エノスを皮切りに、代表団はヤーウェの名を呼び始めた。	代表者はエノスで始まる主の御名を呼びます。	これは、エノスからヤハウェの名を呼び始めたことを示しています。
568350	572220	他的後代的子孫都呼求耶和華的名。	その子孫の子孫はみな、主の御名を呼び求めた。	彼の子孫も子孫もみな主の御名を呼びました。	彼の後裔の子孫はすべて、ヤハウェの名を呼びました。
572220	575780	他們都是耶和華公義的傳道者。	彼らはヤーウェの義の奉仕者である。	彼らは皆エホバの義の奉仕者です。	彼らはすべて、ヤハウェの公義の伝道者でした。
575780	579530	我們繼續往下看。	次に進みましょう。	読み続けてみましょう。	続きを見ていきましょう。
579530	590590	拉麥他們都還記得一件事情， 就是神雖然給夏娃有審判 但是有救贖的預言。	レメクと彼らは皆、神がエバを裁かれたが、贖いの預言があったことを覚えている。	レメクたちは、神がエバに裁きを与えたが、救いの預言もあったということをまだ覚えていた。	ラメクは、神がイブに裁きを与えたものの、救いの預言があったことを覚えていました。
590590	603150	夏娃會有一個女人的後裔， 就是女人的種子， 他要給人類帶來休息、帶來安息、帶來安慰。	エバには女の子孫、女の子孫がいて、人類に安らぎと安らぎをもたらす。	エバには女性の子孫、つまり人類に安息と休息と慰めをもたらす女性の子孫が生まれます。	イブには、女性の胤、つまり女性の種が生まれ、彼は人類に休息、安息、慰めをもたらすでしょう。
603150	606840	因為他要勝過魔鬼，就是蛇。	彼は悪魔、蛇に打ち勝つからである。	なぜなら、彼は悪魔、蛇に勝利するからです。	なぜなら、彼は悪魔、つまり蛇に打ち勝つからです。
606840	611380	他要傷蛇的頭，就是致命的一擊。	彼は蛇の頭を傷つけたいと思っており、それは致命的な打撃です。	彼はヘビの頭を打撲するでしょう、それは致命的な打撃になるでしょう。	彼は蛇の頭を傷つけます。それは致命的な一撃です。
611380	613520	他要真正的制伏罪惡。	神は真に罪を征服したいと願っておられます。	彼は真に罪を克服したいと望んでいます。	彼は本当に罪を制圧するでしょう。
613520	619440	而蛇會傷女人的種子，或是女人的後裔，的腳跟。	そして、蛇は女の子孫、または女の子孫、かかとを傷つける。	そして蛇は女の種、あるいはその子孫のかかとを噛みます。	そして、蛇は女性の胤、または女性の後裔の踵を傷つけます。
619440	623880	代表女人的後裔在跟魔鬼爭戰的時候也會受傷。	これは、女性の子孫が悪魔と戦うときにも怪我をする可能性があることを表しています。	それは、悪魔と戦う際に女性の種も傷つくことを表しています。	これは、女性の胤が悪魔と戦っているときに傷つくことを示しています。
623880	625860	但是他只傷到腳跟。	しかし、彼はかかとを痛めただけでした。	しかし、彼はかかとを痛めただけでした。	しかし、彼は踵を傷つけるだけです。
625860	629330	而魔鬼卻傷到頭致命的一擊。	そして、悪魔は致命的な打撃を受けて頭を負傷しました。	しかし、悪魔は彼の頭に致命的な打撃を与えました。	しかし、悪魔は頭を傷つけ、致命的な一撃を与えます。
629330	634370	新約告訴我們 女人的後裔指的就是耶穌基督。	新約聖書は、女性の子孫はイエス・キリストであると教えています。	新約聖書は、女性の種とはイエス・キリストを指していると述べています。	新約聖書は、女性の胤はイエス・キリストであることを教えています。
